kod	nazev
022	Mléko, smetana a mléčné výrobky (ne máslo a sýry)
0221	Mléko a smetana, nekondenzované a neslazené
02211	Mleko s obsahem tuku ne vice nez 1 % hmotnosti
02212	Mleko a smetana s obsahem tuku 1 az 6 % hmotnosti
02213	Smetana s obsahem tuku pres 6 % hmotnosti
0222	Mléko a smetana kondenzované nebo slazené
02221	Mleko v prasku, obsah tuku ne vice nez 1,5 %
02222	Mleko a smetana v prasku, obsah tuku vice nez 1,5 %
02223	Mleko a smetana zpracovane ne na prasek ap. neslazene
02224	Mleko a smetana zpracovane ne na prasek ap. slazene
0223	Jogurt, podmáslí, sedlé, zkysané ap. mléko a smetana
02231	Jogurt, pr. kondenzovany, slazeny, s ovocem, kakaem
02232	Podmasli, kefir ap. pr. slazene, s ovocem, kakaem
02233	Smetanova aj. pozivatelna zmrzlina, pr. s kakaem
0224	Syrovátka; produkty tvořené složkami přirodniho mléka
02241	Syrovatka
02249	Produkty tvorene slozkami prirodniho mleka
023	Máslo a ostatní tuky a oleje odvozené z mléka
024	Sýry a tvaroh
0241	Sýr strouhaný nebo v prášku, všechny druhy
0242	Tavený sýr, nestrouhaný ani v prášku
0243	Plísňový sýr
0249	Ostatní sýry, tvaroh
02491	Cerstvy syr (vc. syrovatkoveho) nezkvaseny a tvaroh
02499	Ostatni
025	Vejce a žloutky čerstvé, sušené aj. konzerv., bílek vaječný
0251	Vejce ve skořápce
0252	Vejce, bez skořápky a vaječne žloutky
02521	Vejce bez skorapky, vajecne zloutky, susene
02522	Vejce, bez skorapky, vajecne zloutky, ne susene
0253	Vaječný bílek
03	Ryby (kromě mořských savců), korýši a měkkýši
034	Ryby čerstvé (živé, zabité), chlazené nebo zmrazené
0341	Ryby, čerstvé nebo chlazené (kromě filé)
03411	Ryby, zive
03412	Lososovite ryby, cerstve, chlazene (ne jatra ap.)
03413	Platysovite ryby, cerstve, chlazene (ne jatra ap.)
03414	Tunak ap., makrelovite ryby, cerstve, chlazene
03415	Sledi, sardinky, sproty ap., cerstve, chlazene
03416	Treska, cerstva nebo chlazena (ne jatra, jikry,mlici)
03417	Makrela (skumbrie), cerstva nebo chlazena
03418	Ostatni ryby, cerstve, chlazene (ne jatra, jikry ap.)
03419	Jatra, jikry, mlici, cerstve nebo chlazene
0342	Ryby zmrazené (kromě filé a mletého rybího masa)
03421	Lososovite ryby, zmrazene (ne jatra, jikry, mlici)
03422	Platysovite ryby, zmrazene (ne jatra, jikry, mlici)
03423	Tunak ap., makrelovite ryby, zmrazene (ne jatra ap.)
03424	Sledi, sardinky, sproty aj., zmarazene (ne jatra ap.)
03425	Treska, zmrazena (ne jatra, jikry, mlici)
03426	Makrela (skumbrie), zmrazena, (ne jatra, jikry,mlici)
03427	Hejk, zmrazeny (ne jatra, jikry, mlici)
03428	Ostatni ryby, zmrazene (ne jatra, jikry, mlici)
03429	Jatra, jikry, mlici, zmrazene
0344	Rybí filé, zmrazené
0345	Rybí filé čerstvé, chlazené, ost. rybí maso i zmraz.
03451	Rybi file a ostatni rybi maso, cerstve, chlazene
03455	Rybi maso (ne file), zmrazene
035	Ryby sušené, solené nebo v nálevu; ryby uzené
0351	Ryby, sušené, solené nebo v nálevu, ne uzené
03511	Treska (ne jako file), susena, pr. solena
03512	File, susene, solene nebo v nalevu
03513	Ryby susene, pr. solene, j.n.
0352	Ryby solené, ne sušné nebo uzené a ryby v nálevu
03521	Treska
03522	Ancovicky
03529	Ostatni ryby
0353	Ryby (vč. filé), uzené
0354	Rybí játra, jikry, mlíčí, sušené, uzené, solené ap.
0355	Rybí moučka, vhodná pro konzumaci člověkem
036	Korýši, měkkýši aj. vodní bezobratlí čerství ap., sušení aj.
0361	Korýši, zmrazení
03611	Garnaty a krevety, zmrazene
03619	Ostatni korysi, zmrazeni
0362	Korýši, jiní než zmrazení
0363	Měkkýši a vodni bezobratlí, čerství, chlazení apod.
03631	Ustrice
03633	Sepie, chobotnice a olihen, cerstve nebo chlazene
03635	Ostatni mekkysi a vodni bezobratli, cerstvi, chlazeni
03637	Sepie, chobotnice a olihen, zmrazene, susene, solene
03639	Ostatni mekkysi a vodni bezobratli, zmrazeni apod.
037	Ryby, korýši, měkkýši ap. upravení nebo konzervovaní jn.
0371	Ryby, upravené nebo konzervované, j.n. kaviár
03711	Losos, cely nebo porcovany, ne vsak mlety
03712	Sledi, sardinky, sproty ap., cele, porcovane ne mlete
03713	Tunak ap., makrelovite ryby, cele, porcov., ne mlete
03714	Makrely, cele nebo porcovane, ne mlete
03715	Ostatni ryby, cele nebo porcovane, ne mlete
03716	Ostatni ryby upravene nebo konzervovane, j.n.
03717	Kaviar a kaviarove nahrazky pripravene z rybich jiker
0372	Korýši, měkkýši apod., upravení, konzervovaní, j.n.
03721	Korysi, upraveni nebo konzervovani, j.n.
03722	Mekkysi apod., upraveni, konzervovani, j.n.
04	Obiloviny a obilné výrobky
041	Pšenice (vč. špaldy) a sourež nemleté
0411	Pšenice tvrdá, nemletá
0412	Ostatni pšenice, nemletá
042	Rýže
0421	Rýže neloupaná
0422	Rýže loupaná, ne však dále upravená
0423	Rýže polodrcená, nebo drcená, předvařená či konzerv.
04231	Ryze (ne zlomkova)
04232	Zlomkova ryze
043	Ječmen nemletý
044	Kukuřice (ne sladká) nemletá
0441	Kukuřice sadbová
0449	Kukuřice ostatní
045	Obilniny nemleté (ne pšenice, ječmen, rýže, kukuřice)
0451	Žito, nemleté
0452	Oves, nemletý
0453	Čirokové zrno, nemleté
0459	Pohanka, proso, semenec a ost. obilniny, nemleté,j.n.
04591	Proso, nemlete
04592	Pohanka, nemleta
04593	Semenec, nemlety
04599	Obilniny, nemlete, j.n.
046	Mouka pšeničná, mouka ze sourži
0461	Mouka pšeničná nebo ze soureže
0462	Krupky, mouka a pelety z pšenice
047	Obilniny ostatní mleté (ne mouka pšeničná a ze sourži)
0471	Obilná mouka (ne pšeničná nebo ze sourži)
04711	Kukuricna mouka
04719	Obilna mouka ostatni
0472	Obilné krupky, mouka a pelety (ne pšeničné)
04721	Krupky a mouka z kukurice
04722	Kroupy a mouka z ostatnich obilnin
04723	Pelety z obilnin
048	Výrobky z obilnin, z mouky, ze škrobu z ovoce a zeleniny
0481	Zrní obilnin, zpracované nebo upravené
04811	Upravene potraviny ziskane bobtnanim ap. obilnin
04812	Obilniny jine nez kukurice, v puvodni forme apod.
04813	Ostatni valcovane, vlockovane zrni obilnin, ne ryze
04814	Ostatni zpracovane zrni obilnin, ne ryze
04815	Obilne klicky, cele, valcovane, vlockovane, mlete
0482	Slad, připadné pražený (včetné sladové mouky)
0483	Makarony, špagety a podobné výrobky (těstoviny)
0484	Chléb, pečivo, koláče, suchary a ost.pekařské výrobky
04841	Topinky, suchary, toastovy chleb apod. vyrobky
04842	Sladke susenky, oplatky a vafle, pernik, apod.
04849	Ostatni vyrobky z obilnin, mouky, skrobu z ovoce ap.
0485	Směsi, těsta k přípravě pekařských výrobků 048.4
05	Zelenina a ovoce
054	Zelenina čerstvá, chlazená, zmrazená ap., kořeny, hlízy aj.
0541	Brambory, čerstvé nebo chlazené
0542	Lušténinová zelenina, sušená, loupaná, příp. dělená
05421	Hrach
05422	Cizrna
05423	Boby, jine nez bob obecny a bob konsky
05424	Cocka
05425	Bob obecny a bob konsky
05429	Ostatni lusteninova zelenina
0544	Rajská jablíčka, čerstvá nebo chlazená
0545	Ostatni čerstvá nebo chlazená zelenina
05451	Cibule a salotka, cerstva nebo chlazena
05452	Cesnek, por a ostatni cesnekova zelenina
05453	Zeli ap. jedla kapust. zelenina, cerstva, chlazena
05454	Salat a cekanka (vc. sterbaku), cerstva, chlazena
05455	Karotka, turin, celer ap. jedle korenove zeleniny
05456	Okurky a nakladacky, cerstve, chlazene
05457	Lusteniny, cerstve, chlazene
05458	Houby a lanyze, cerstve, chlazene
05459	Ostatni zelenina, cerstva, chlazena
0546	Zelenina zmrazená
05461	Sladka kukurice
05469	Ostatni zelenina a zeleninove smesi
0547	Zelenina předbežně konzervovaná, nevhodná k konzumaci
0548	Zeleninové výrobky, kořeny a hlízy
05481	Maniok (kasava) cerstvy, suseny, pr. krajeny ap.
05483	Sipatka, salep, bataty apod., cerstva ap., sago
05484	Chmelove sisky a lupulin
05487	Cukrovka, cerstva, susena, pr. mleta
05489	Zeleninove produkty uzivane jako lidska potrava, j.n.
056	Zelenina, kořeny a hlízy upravené, konzervované jn.
0561	Zelenina sušená, celá, řezaná, krajená, lámaná
05612	Cibule
05613	Houby a lanyze
05619	Ostatni zelenina, zeleninove smesi
0564	Prášek, mouka, lupínky z brambor, ovoce, zeleniny,j.n
05641	Prasek a mouka z brambor
05642	Bramborove lupinky
05645	Tapioka, jeji nahrazky ze skrobovin ve forme zrn ap.
05646	Prasek a mouka ze susenych lustenin 054.2
05647	Prasek, mouka ze saga, manioku, salepu, sipatky ap.
05648	Prasek a mouka z ovoce a orechu
0566	Zelenina upravená, konzervovaná ne octem ap., j.n.
05661	Brambory upravene, konzervovane ne octem ap.,zmrazene
05669	Ost. zelenina a smesi upravene, konzerv. ne octem ap.
0567	Zelenina, upravená nebo konzervovaná, j.n.
05671	Zelenina, ovoce, orechy ap. upravene, konzerv. octem
05672	Rajska jablicka upravena, konzervovana ne octem ap.
05673	Rajska jablicka upravena, konzervovana ne octem, j.n.
05674	Houby a lanyze upravene, konzervovane ne octem ap.
05676	Brambory upravene, konzervovane ne octem, nezmrazene
05677	Sladka kukurice
05679	Ost. zelenina upravena, konzerv. ne octem, nezmrazena
057	Ovoce a ořechy (ne olejnaté) čerstvé, sušené
0571	Pomeranče, mandarinky, klementinky čerstvé, sušené
05711	Pomerance
05712	Mandarinky, klementinky apod. citrusove plody
0572	Ostatni citrusové ovoce, čerstvé nebo sušené
05721	Citrony a limetty
05722	Grapefruity
05729	Citrusove ovoce, j.n., cerstve, susene
0573	Banány
0574	Jablka, čerstvá
0575	Hrozny, čerstvé nebo sušené
05751	Hrozny, cerstve
05752	Hrozny, susene (napr. hrozinky)
0576	Fíky, čerstvé, sušené
0577	Jedlé ořechy, čerstvé nebo sušené
05771	Kokosove orechy
05772	Brazilske orechy
05773	Akazuove orechy
05774	Mandle
05775	Liskove orechy, plody lisky obecne
05776	Vlasske orechy
05777	Kastany
05778	Pistaciove orechy
05779	Jedle orechy (ne smesi), cerstve, susene, j.n.
0579	Ovoce, čerstvé nebo sušené, j.n.
05791	Melouny (vc. vodnich melounu) a papaje, cerstve
05792	Hrusky a kdoule, cerstve
05793	Peckovite ovoce, j.n., cerstve
05794	Bobuloviny, cerstve
05795	Ananasy, cerstve, susene
05796	Datle, cerstve, susene
05797	Plody stromu Persea, mangovniku ap. cerstve, susene
05798	Ostatni cerstve ovoce
05799	Ovoce, susene, j.n. a smesi
058	Ovoce konzervované a  výrobky ovocné (ne šťávy)
0581	Džemy, marmelády, pasty, pyré vařené, příp. slazené
0582	Ovoce a ořechy předběžně konzervované
05821	Ovoce a orechy predbezne konzervovane
05822	Kura citrus. plodu, melounu, cerstva, zmrazena, konz.
0583	Ovoce a ořechy, nevařené nebo uvařené, zmrazené
05831	Jahody
05832	Maliny, boruvky, moruse, ostruziny, rybiz, angrest
05839	Ostatni ovoce, orechy
0589	Ovoce, ořechy aj. upravené, konzervované jinak, j.n.
05892	Orechy, podzemnice, ost. semena, pripravena, j.n.
05893	Ananasy
05894	Citrusove ovoce
05895	Merunky, tresne, hrusky
05896	Ovoce, jedle casti rostlin, pripravene, konzerv.,j.n.
05897	Smesi ovoce a ostatnich jedlych casti rostlin, j.n.
059	Šťávy ovocné (vč. vinného moštu), zeleninové nekvašené
0591	Pomerančová šťáva
0592	Grapefruitová šťáva
0593	Šťáva jiného jednotlivého druhu citrusového ovoce
0599	Šťáva jednotlivého druhu ovoce, zeleniny, směsi šťáv
05991	Ananasova stava
05992	Stava z rajskych jablicek
05993	Hroznova stava (vc. vinneho mostu)
05994	Jablecna stava
05995	Stava jineho jednotliveho druhu ovoce, zeleniny
05996	Smesi ovocnych nebo zeleninovych stav
06	Cukr, výrobky z cukru a med
061	Cukr, melasa a med
0611	Cukr surový
06111	Trtinovy cukr, surovy
06112	Repny cukr, surovy
0612	Ost. řepný, třtinová cukr, chemicky čistá sacharoza
06121	Obsahujici dodatecnou prichut nebo barvici pripravek
06129	Zbyly ost. repny, trtinovy cukr, chem. c. sacharoza
0615	Melasa z extrakce či rafinace cukru
06151	Trtinova melasa
06159	Repna a ostatni melasa z extrakce, rafinace cukru
0616	Přírodní med
0619	Ost. cukry, sirupy bez dodatečné příchuti, umělý med
06191	Laktoza a laktozovy sirup
06192	Javorovy cukr a javorovy sirup
06193	Glokoza a sirup obsahujici mene nez 20 % fruktozy
06194	Glokoza a sirup obsahujici 20 az 50 % fruktozy
06195	Cista fruktoza
06196	Ost. fruktoza a sirup obsahujici nad 50 % fruktozy
06199	Zbyle ostatni cukry (vc. invertniho cukru)
062	Cukrovinky
0621	Ovoce, ořechy, kůra apod. konzervované cukrem aj.
0622	Cukrovinky, neobsahující kakao
06221	Zvykacka, pripadne macena v cukru
06229	Ostatni cukrovinky neobsahujici kakao
07	Káva, čaj, kakao, koření a výrobky z nich
071	Káva a náhražky kávové
0711	Káva, nepražená
07111	Kava, neprazena, nezbavena kofeinu
07112	Kava, neprazena, zbavena kofeinu
0712	Káva, pražená
0713	Výtažky, tresti a koncentráty kávy
07131	Vytazky, tresti a koncentraty kavy
07132	Kavove nahrazky, obsahujici kavu v jakekoli proporci
07133	Prazena cikorka a ostatni nahrazky, vytazky, tresti
072	Kakao
0721	Kakaové boby
0722	Kakaový prášek neobsahujici cukr či jiná sladidla
0723	Kakaová pasta
07231	Kakaova pasta nezbavena tuku (licor)
07232	Kakaova pasta zbavena tuku (pokrutiny)
0724	Kakaové máslo, tuk nebo olej
0725	Kakaové skořápky, šlupky a jiný odpad
073	Čokoláda a ost. potravinářské přípravky s kakaem jn.
0731	Kakaová prášek obsahující cukr či jiná sladidla
0732	Ostatní potravinářské přípravky s kakaem, nad 2 kg
0733	Ostatní potravinářské přípravky obsahující kakao
0739	Potravinářské přípravky obsahující kakao, j.n.
074	Čaj pravý a cesmínový (maté)
0741	Čaj
07411	Zeleny caj (nefermentovany) v baleni do 3 kg
07412	Ostatni zeleny caj (nefermentovany)
07413	Cerny caj (fermentovany) v baleni do 3 kg
07414	Ostatni cerny caj (fermentovany)
0743	Čaj cesminový (maté), tresti, koncentráty čaje, maté
07431	Mate
07432	Vytazky, tresti, koncentraty caje, mate
075	Koření
0751	Pepř, nové koření, sušené, mleté, drcené
07511	Pepr, nemlety, nedrceny
07512	Pepr, mlety, drceny
07513	Nove koreni, susene, mlete, drcene
0752	Koření (kromě pepře a pimenta)
07521	Vanilka
07522	Skorice, kvety skoricoveho stromu, nemlete, nedrcene
07523	Skorice, kvety skoricoveho stromu, mlete, drcene
07524	Hrebicek (cele plody, cibulky, stonky)
07525	Muskatovy orech, muskatovy kvet, kardamon
07526	Semena anyzu,badianu,fenyklu,koriandru,kminu,jalovce
07527	Zazvor (krome zazvoru konzervovaneho v cukru, sirupu)
07528	Tymian, safran, bobkovy list
07529	Ostatni koreni, smesi dvou nebo vice produktu sk. 075
08	Krmiva pro zvířata (kromě nemletých obilnin)
081	Krmiva pro zvířata (kromě nemletých obilnin)
0811	Seno a píce, zelené, sušené
08111	Obilna slama, plevy, neupravene, pr. rezane, drcene
08112	Vojteska (alfalfa), moucka, pelety
08113	Turin, mangold, krmne korenoviny, jetel apod. krmiva
08119	Zeleninove zbytky, vedlejsi produkty jako krmivo,j.n.
0812	Otruby a ostatní zbytky
08123	Otruby a ostatni zbytky z luskovin
08124	Otruby a ostatni zbytky z kukurice
08126	Otruby a ostatni zbytky z psenice
08129	Otruby a ostatni zbytky z ostatnich obilnin
0813	Olejnaté pokrutiny a ostatní pevné zbytky
08131	Olej. pokrutiny, ost. pevne zbytky ze sojovych bobu
08132	Olejnate pokrutiny, ostatni pevne zbytky z podzemnice
08133	Olej. pokrutiny, ost. pevne zbytky ze semen bavlniku
08134	Olej. pokrutiny, ost. pevne zbytky z lneneho semene
08135	Olej. pokrutiny, ost. zbytky ze slunecnicoveho semene
08136	Olej. pokrutiny. ost. zbytky ze semen repky i jarni
08137	Olej. pokrutiny, zbytky z kokosovych orechu, kopry
08138	Olej. pokrutiny, zbytky z palmovych orechu, jader
08139	Olej. pokrutiny, zbytky z ost. olej. semen, plodu
0814	Moučky různé hrubosti a pelety z masa, z ryb, korýšů
08141	Moucka ruzne hrubosti, pelety z masa, vnitrnosti
08142	Moucky ruzne hrubosti a pelety z ryb
0815	Zbytky z výroby škrobu, cukru, vaření piva, destilace
08151	Zbytky z vyroby skrobu a podobne zbytky
08152	Odpad z vyroby cukru, repne rizky, bagasova bunicina
08153	Usazeniny a odpad z vareni piva a destilace alkoholu
0819	Potravinářský odpad a upravené krmivo pro zvířata
08194	Vinny kal, vinny kamen
08195	Potrava pro psy, kocky, pro prodej
08199	Pripravky uzivane jako krmivo pro zvirectvo, j.n.
09	Různé jedlé výrobky a přípravky
091	Margarin a pokrmové tuky
0910	Margarin, jedlé směsi, přípravky z tuku, olejů
09101	Margarin (vyjma tekuteho margarinu)
09109	Ostatni jedle smesi, pripravky z tuku, oleju
098	Výrobky, přípravky jedlé jn. (omáčky, kečup, ocet ap.)
0981	Homogenizované potravinové přípravky
09811	Homogenizovane pripravky z masa, vnitrnosti
09812	Homogenizovana zelenina
09813	Varene ovocne pripravky, homogenizovane
09814	Homogenizovane smesi potravinovych pripravku
0984	Omáčky, přípravky, směsi koření, hořčice, ocet
09841	Sojova omacka
09842	Kecup a ostatni omacky z rajcat
09843	Horcicna moucka, pripravena horcice
09844	Ocet, nahrazky octa ziskane z kyseliny octove
09849	Ostatni omacky a pripravky k nim, smesi koreni
0985	Polévky a masové vývary a přípravky k nim
0986	Droždí, kvasinky, prášky do pečiva
0989	Vyrobené pokrmy, j.n.
09891	Pasta, varena, jako nadivka, kuskus, pr. upraveny
09892	Jedle produkty zivocisneho puvodu, j.n.
09893	Pripravky pro detskou vyzivu, j.n.
09894	Sladovy vytazek; potravinove pripravky z mouky,skrobu
09899	Ostatni vyrobene pokrmy
1	Nápoje a tabák
11	Nápoje
111	Nápoje nealkoholické jn.
1110	Nealkoholické nápoje, j.n.
11101	Vody bez prisad cukru, sladidel, prichuti, led, snih
11102	Vody s prisadou cukru, sladidel, prichuti,napoje j.n.
112	Nápoje alkoholické
1121	Víno z čerstvých hroznů
11211	Vinny most
11213	Vermut, ost. vina z cerstvych hroznu, s vytazky
11215	Perlive vino
11217	Vino z cerstvych hroznu (ne perlive), vinny most
1122	Kvašené nápoje, j.n. (např. jablečný mošt, medovina)
1123	Pivo vyrobené ze sladu
1124	Lihoviny; likéry a ostatní alkoholické nápoje
11241	Whisky
11242	Lihoviny ziskane destilaci hroznoveho vina, matolin
11244	Rum a zapadoindicky rum
11245	Gina a jalovcova
11249	Lihoviny a destilovane alkoholicke napoje, j.n.
12	Tabák a tabákové výrobky
121	Tabák nezpracovaný, odpad tabákový
1211	Tabák, nezbavený žilek a žeber listu
1212	Tabák zcela nebo zčásti zbavený žilek a žeber listu
1213	Tabákový odpad
122	Tabák zpracovaný, obsahující i náhražky tabákové
1221	Doutníky, viržinka, kratké doutníky obsahující tabák
1222	Cigarety
1223	Ostatni tabákové výrobky; tabakové výtažky
12231	Doutniky, virzinka, cigarety z tabakovych nahrazek
12232	Tabak na koureni, pr. obsahujici tabakove nahrazky
12239	Zpracovany tabak, j.n.
2	Suroviny nepoživatelné, s výjimkou paliv
21	Usně, kůže a kožešiny, surové
211	Usně a kůže (ne kožešiny) surové
2112	Celé usně a kůže ze skotu nebo koní, sušené, solené aj upravené
21121	Celé usně a kůže ze skotu nebo koní, <= 16 kg, sušené, solené aj upravené
21129	Ostatní usně a kůže ze skotu nebo koní, vč. hýždí, kruponů, břich
2116	Kůže ovčí a jehněčí
2117	Ovčí kůže, jehněčí kůže s vlnou, surové, př. štípané
2119	Usně a kůže, j.n.; kožený odpad
21191	Odpad z mizdreni aj. odpad z kuze, imitace, prach ap.
21199	Usne a kuze, j.n., surove, pr. ostrihane, stipane
212	Kožešiny se srstí surové (vč. hlav, ocasů, končetin ap.)
2121	Kožky norků, surové, celé, př. bez hlavy, ocasu apod.
2122	Surové kožky, jiné než z norků, cele
21222	Surove kozky z jehnat, cele, pr. bez hlavy, ocasu ap.
21225	Surove kozky z lisek, cele, pr. bez hlavy, ocasu ap.
21229	Ostatni kozky, cele, pr. bez hlavy, ocasu, koncetin
2123	Hlavy, ocasy, končetiny, ost. části pro kožešnictví
22	Olejnatá semena a olejnaté plody
222	Podzemnice, soja, semena bavlníku, slunečnice, sezamu, řepky, hořčice
2221	Podzemnice, nepražená, jinak nepřipravená, př. drcená
22211	Podzemnice neloupana, neprazena, jinak nepripravena
22212	Podzemnice loupana, neprazena, jinak nepripravena
2222	Sojové boby
2223	Semeno bavlníku
2224	Slunečnicové semeno
2225	Sezamové semeno
2226	Semeno řepky, řepky jarní, hořčice
22261	Semeno repky a repky jarni
22262	Semeno horcice
223	Kopra, palmové ořechy a jádra, semeno lnu, skočce ap.
2231	Kopra
2234	Semeno lnu
2237	Olejnatá semena a olejnaté plody, j.n.
2239	Moučky olejnatých semen a olejnatých plodů
23	Surový kaučuk (včetně syntetického a regenerovaného)
231	Kaučuk přírodní, balata, gutaperča, guajal ap.
2311	Přírodní kaučukový latex, případně předvulkanizovaný
2312	Přírodní kaučuk (jiný než latex)
23121	Uzeny kaucuk
23125	Technicky specifikovany prirodni kaucuk (TSPK)
23129	Ostatni prirodni kaucuk
2313	Balata, gutaperča, guajal, cikl ap. přírodní kaučuky
232	Kaučuk syntetický, regenerovaný, odpad, úlomky
2321	Syntetický kaučuk
23211	Butadien-styrenovy kaucuk (SBR), karboxylovany (XSBR)
23212	Butadienovy kaucuk (BR)
23213	Izobuten-isoprenovy kaucuk (IIR), halogenovany (CIIR)
23214	Chloroprenovy (chlorobutadienovy) kaucuk (CR)
23215	Butadien-akrylonitrilovy kaucuk (NBR)
23216	Izoprenovy kaucuk (IR)
23217	Nekonjugovany etylen-propylendienovy kaucuk (EPDM)
23218	Smesi prirodnich kaucuku se syntetickym kaucukem
23219	Ostatni synteticke kaucuky, faktis odvozeny z oleju
2322	Renegerovaný kaučuk
23221	Regenerovany kaucuk v primarnich formach, deskach ap.
23222	Odpad, odrezky, ulomky netvrzeneho kaucuku, prach
24	Korek a dřevo
244	Korek přírodní, surový a odpad
2440	Korek, přírodní, surový, odpad
24402	Korek prirodni, neopracovany, v deskach, pruzich ap.
24403	Korek, prirodni, surovy, jednoduse upraveny
24404	Korkovy odpad, drceny, granulovany, mlety korek
245	Dřevo palivové (ne odpad dřevní), uhlí dřevěné
2450	Palivové dřevo (kromě dřevního odpadu), dřevěné uhlí
24501	Palivove drevo, v kulacich, polenech, stepinach apod.
24502	Drevene uhli (vc. plastkoveho, orechoveho)
246	Dřevo vlákninové v třískách, odpad dřevní
2461	Dřevo v třískách nebo částicích
24611	Jehlicnate drevo v triskach nebo casticich
24615	Nejehlicnate drevo v triskach nebo casticich
2462	Piliny, dřevní odpad, př. aglomerovaný v kulacích ap.
247	Dřevo surové nebo hrubě hraněné
2473	Dřevo surové, hrubě hraněné, upravené barvou aj.
2474	Dřevo jehličnatých druhů, surové, hrubě hraněné
2475	Dřevo nejehličnatých tropických druhů, surové, hrubě hraněné
2479	Dřevo surové, hrubě hraněné, j.n.
248	Dřevo jednoduše opracované, pražce železniční
2481	Železniční, tramvajové pražce (podpory) dřevěné
24811	Neinpregnovane drevene zeleznicni, tramvajove prazce
24819	Ostatni drevene zeleznicni, tramvajove prazce
2482	Dřevo jehličnanů, řezané nebo štípané po délce
2483	Dřevo jehličnatých stromů kontinuálně profilované ap.
2484	Dřevo nejehličnatých stromů, řezané apod. nad 6 mm
2485	Dřevo nejehličnatých stromů kontinuálně profilované
25	Vláknina a sběrový papír
251	Vláknina a papír sběrový
2511	Sběrový papír a odpad papíru nebo lepenky
25111	Sberovy papir z nebeleneho sulfatoveho aj. papiru ap.
25112	Sberovy papir z papiru aj. z belene chem. vlakniny
25113	Sberovy papir z papiru aj. z mechanicke vlakniny
25119	Ostatni sberovy papir, odpad (vc. netrideneho odpadu)
2512	Mechanicky vyrobená vláknina
2513	Chemicky vyrobená vláknina, rozpustné druhy
